Date,White,Black,Opening,White_rating,Black_rating,winner,url
2021.01.04,anabrown14212,jtucker109,A41,665,588,jtucker109,https://www.chess.com/game/live/6136646329
2021.01.18,jtucker109,SoLiD187,C25,574,1226,SoLiD187,https://www.chess.com/game/live/6275465723
2021.01.19,jtucker109,Obie4321,B00,1074,720,jtucker109,https://www.chess.com/game/daily/303427158
2021.01.18,bloumix,jtucker109,D06,1186,1034,bloumix,https://www.chess.com/game/daily/303338934
2021.01.19,el_bantu,jtucker109,D02,800,1034,jtucker109,https://www.chess.com/game/daily/303602370
2021.01.20,jtucker109,el_bantu,C20,1034,779,jtucker109,https://www.chess.com/game/daily/303762832
2021.01.22,pgarcia05,jtucker109,D00,1021,981,pgarcia05,https://www.chess.com/game/daily/304341024
2021.01.22,jtucker109,pgarcia05,B07,947,1070,pgarcia05,https://www.chess.com/game/daily/304378506
2021.01.23,pgarcia05,jtucker109,D00,1117,924,pgarcia05,https://www.chess.com/game/daily/304834774
2021.01.24,jtucker109,pgarcia05,B07,903,1094,pgarcia05,https://www.chess.com/game/daily/305138846
2021.01.27,pgarcia05,jtucker109,A45,1099,886,pgarcia05,https://www.chess.com/game/daily/306191214
2021.01.30,jtucker109,pgarcia05,B07,934,1086,jtucker109,https://www.chess.com/game/daily/307055254
2021.02.02,pgarcia05,jtucker109,A40,1110,918,pgarcia05,https://www.chess.com/game/daily/307900874
2021.02.05,jtucker109,pgarcia05,B07,904,1124,pgarcia05,https://www.chess.com/game/daily/308794358
2021.02.08,pgarcia05,jtucker109,A45,1137,893,pgarcia05,https://www.chess.com/game/daily/309646182
2021.02.08,jtucker109,pgarcia05,B07,883,1151,pgarcia05,https://www.chess.com/game/daily/309773420
2021.02.11,pgarcia05,jtucker109,A40,1143,923,jtucker109,https://www.chess.com/game/daily/310517300
2021.02.14,jtucker109,pgarcia05,A46,913,1164,pgarcia05,https://www.chess.com/game/daily/311362996
2021.02.15,pgarcia05,jtucker109,A41,1169,904,pgarcia05,https://www.chess.com/game/daily/311660676
2021.02.16,jtucker109,pgarcia05,A00,895,1157,pgarcia05,https://www.chess.com/game/daily/312030188
2021.02.18,pgarcia05,jtucker109,A45,1143,929,jtucker109,https://www.chess.com/game/daily/312825846
2021.02.19,jtucker109,pgarcia05,A00,920,1148,pgarcia05,https://www.chess.com/game/daily/313094794
2021.02.20,pgarcia05,jtucker109,A40,1157,912,pgarcia05,https://www.chess.com/game/daily/313290338
2021.02.21,jtucker109,pgarcia05,A00,905,1161,pgarcia05,https://www.chess.com/game/daily/313445710
2021.02.21,pgarcia05,jtucker109,A41,1149,934,jtucker109,https://www.chess.com/game/daily/313639736
2021.02.23,jtucker109,pgarcia05,A00,926,1158,pgarcia05,https://www.chess.com/game/daily/313996878
2021.02.24,pgarcia05,jtucker109,A40,1162,919,pgarcia05,https://www.chess.com/game/daily/314447972
2021.02.25,jtucker109,pgarcia05,A41,912,1166,pgarcia05,https://www.chess.com/game/daily/314589066
2021.02.26,jtucker109,el-bantu,D00,913,258,jtucker109,https://www.chess.com/game/daily/314943430
2021.02.26,pgarcia05,jtucker109,A40,1170,907,pgarcia05,https://www.chess.com/game/daily/314827148
2021.02.27,jtucker109,pgarcia05,B07,901,1176,pgarcia05,https://www.chess.com/game/daily/315294076
2021.02.28,jtucker109,KubraTe,C20,447,465,KubraTe,https://www.chess.com/game/live/8277369915
2021.03.08,pgarcia05,jtucker109,A40,1178,895,pgarcia05,https://www.chess.com/game/daily/317751506
2021.03.09,jtucker109,pgarcia05,A00,921,1169,jtucker109,https://www.chess.com/game/daily/317980340
2021.03.10,pgarcia05,jtucker109,D00,1172,915,pgarcia05,https://www.chess.com/game/daily/318307948
2021.03.11,jtucker109,pgarcia05,B07,909,1178,pgarcia05,https://www.chess.com/game/daily/318500326
2021.03.13,pgarcia05,jtucker109,A40,1164,933,jtucker109,https://www.chess.com/game/daily/318903828
2021.03.15,jtucker109,pgarcia05,A00,927,1168,pgarcia05,https://www.chess.com/game/daily/319738406
2021.03.16,pgarcia05,jtucker109,A45,1155,949,jtucker109,https://www.chess.com/game/daily/319929608
2021.03.17,jtucker109,pgarcia05,B07,943,1162,pgarcia05,https://www.chess.com/game/daily/320276404
2021.03.19,pgarcia05,jtucker109,A41,1166,937,pgarcia05,https://www.chess.com/game/daily/320795060
2021.03.22,jtucker109,pgarcia05,A00,931,1170,pgarcia05,https://www.chess.com/game/daily/321372306
2021.03.23,pgarcia05,jtucker109,A41,1176,926,pgarcia05,https://www.chess.com/game/daily/321630198
2021.03.23,jtucker109,pgarcia05,B07,921,1179,pgarcia05,https://www.chess.com/game/daily/321778890
2021.03.25,pgarcia05,jtucker109,A40,1182,916,pgarcia05,https://www.chess.com/game/daily/322135090
2021.03.25,jtucker109,pgarcia05,B07,912,1188,pgarcia05,https://www.chess.com/game/daily/322322752
2021.03.28,pgarcia05,jtucker109,A41,1191,908,pgarcia05,https://www.chess.com/game/daily/322923804
2021.03.29,jtucker109,SoLiD187,C50,906,1348,SoLiD187,https://www.chess.com/game/daily/323149444
2021.03.30,SoLiD187,jtucker109,B20,1360,904,SoLiD187,https://www.chess.com/game/daily/323389750
2021.03.29,jtucker109,pgarcia05,B07,900,1197,pgarcia05,https://www.chess.com/game/daily/323259886
2021.03.31,jtucker109,SoLiD187,C41,898,1370,SoLiD187,https://www.chess.com/game/daily/323634970
2021.04.01,SoLiD187,jtucker109,B20,1379,896,SoLiD187,https://www.chess.com/game/daily/323927632
2021.03.31,pgarcia05,jtucker109,D00,1183,916,jtucker109,https://www.chess.com/game/daily/323805700
2021.04.01,jtucker109,SoLiD187,D11,914,1388,SoLiD187,https://www.chess.com/game/daily/324062076
2021.04.02,el-bantu,jtucker109,C25,470,372,el-bantu,https://www.chess.com/game/live/11143379251
2021.04.02,jtucker109,el-bantu,B07,325,476,el-bantu,https://www.chess.com/game/live/11143498949
2021.04.03,el-bantu,jtucker109,C26,465,404,jtucker109,https://www.chess.com/game/live/11226170637
2021.04.03,jtucker109,el-bantu,C26,443,130,jtucker109,https://www.chess.com/game/live/11226306449
2021.04.02,jtucker109,pgarcia05,B07,910,1186,pgarcia05,https://www.chess.com/game/daily/324168234
2021.04.02,SoLiD187,jtucker109,C10,1271,929,jtucker109,https://www.chess.com/game/daily/324360966
2021.04.04,pgarcia05,jtucker109,A41,1189,925,pgarcia05,https://www.chess.com/game/daily/324823876
2021.04.05,jtucker109,pgarcia05,A00,921,1195,pgarcia05,https://www.chess.com/game/daily/324882986
2021.04.07,pgarcia05,jtucker109,D00,1198,917,pgarcia05,https://www.chess.com/game/daily/325604294
2021.04.08,jtucker109,pgarcia05,B08,913,1201,pgarcia05,https://www.chess.com/game/daily/325749800
2021.04.09,pgarcia05,jtucker109,D00,1188,931,jtucker109,https://www.chess.com/game/daily/325901968
2021.04.10,jtucker109,pgarcia05,A10,927,1191,pgarcia05,https://www.chess.com/game/daily/326127264
2021.04.10,pgarcia05,jtucker109,D00,1178,944,jtucker109,https://www.chess.com/game/daily/326309712
2021.04.11,jtucker109,pgarcia05,A00,940,1181,pgarcia05,https://www.chess.com/game/daily/326384058
2021.04.12,pgarcia05,jtucker109,D00,1184,936,pgarcia05,https://www.chess.com/game/daily/326630758
2021.04.14,jtucker109,pgarcia05,B07,932,1194,pgarcia05,https://www.chess.com/game/daily/327160928
2021.04.22,pgarcia05,jtucker109,D00,1188,928,pgarcia05,https://www.chess.com/game/daily/329160720
2021.04.24,jtucker109,pgarcia05,A00,924,1191,pgarcia05,https://www.chess.com/game/daily/329454442
2021.04.29,pgarcia05,jtucker109,A40,1194,920,pgarcia05,https://www.chess.com/game/daily/330712160
2021.05.01,jtucker109,pgarcia05,B07,916,1197,pgarcia05,https://www.chess.com/game/daily/331189852
2021.04.24,jtucker109,lulu_belge,D20,914,1346,lulu_belge,https://www.chess.com/game/daily/329473674
2021.05.05,lulu_belge,jtucker109,B23,1309,935,jtucker109,https://www.chess.com/game/daily/332039576
2021.05.14,pgarcia05,jtucker109,D00,1200,931,pgarcia05,https://www.chess.com/game/daily/333905143
2021.05.16,jtucker109,pgarcia05,A41,927,1203,pgarcia05,https://www.chess.com/game/daily/334344977
2021.05.17,pgarcia05,jtucker109,A41,1206,923,pgarcia05,https://www.chess.com/game/daily/334585825
2021.05.20,jtucker109,pgarcia05,B07,919,1209,pgarcia05,https://www.chess.com/game/daily/335017565
2021.05.21,pgarcia05,jtucker109,A40,1212,915,pgarcia05,https://www.chess.com/game/daily/335402295
2021.05.18,jtucker109,lulu_belge,D20,913,1297,lulu_belge,https://www.chess.com/game/daily/334730609
2021.05.23,jtucker109,pgarcia05,B07,910,1215,pgarcia05,https://www.chess.com/game/daily/335605043
2021.05.27,pgarcia05,jtucker109,A41,1218,907,pgarcia05,https://www.chess.com/game/daily/336620267
2021.06.04,jtucker109,pgarcia05,A00,904,1221,pgarcia05,https://www.chess.com/game/daily/338213169
2021.06.06,pgarcia05,jtucker109,A41,1224,901,pgarcia05,https://www.chess.com/game/daily/338434111
2021.06.06,jtucker109,pgarcia05,A00,898,1227,pgarcia05,https://www.chess.com/game/daily/338528123
2021.06.07,pgarcia05,jtucker109,A41,1230,895,pgarcia05,https://www.chess.com/game/daily/338641251
2021.06.09,jtucker109,pgarcia05,E61,892,1233,pgarcia05,https://www.chess.com/game/daily/339177513
2021.06.10,pgarcia05,jtucker109,A41,1235,889,pgarcia05,https://www.chess.com/game/daily/339325059
2021.06.11,jtucker109,pgarcia05,B07,886,1237,pgarcia05,https://www.chess.com/game/daily/339391421
2021.06.12,pgarcia05,jtucker109,A41,1239,883,pgarcia05,https://www.chess.com/game/daily/339659065
2021.06.13,jtucker109,pgarcia05,E90,880,1241,pgarcia05,https://www.chess.com/game/daily/339725379
2021.06.13,pgarcia05,jtucker109,A45,1243,878,pgarcia05,https://www.chess.com/game/daily/339827573
2021.06.17,el-bantu,jtucker109,B07,426,878,el-bantu,https://www.chess.com/game/daily/340542813
2021.06.17,jtucker109,el-bantu,A00,878,425,el-bantu,https://www.chess.com/game/daily/340566301
2021.05.24,lulu_belge,jtucker109,B23,1301,876,lulu_belge,https://www.chess.com/game/daily/335960299
2021.06.17,el-bantu,jtucker109,B00,412,876,el-bantu,https://www.chess.com/game/daily/340711273
2021.06.18,jtucker109,el-bantu,D00,876,412,el-bantu,https://www.chess.com/game/daily/340887079
2021.06.18,jtucker109,lulu_belge,D00,876,1301,lulu_belge,https://www.chess.com/game/daily/340887817
2021.06.24,lulu_belge,jtucker109,B07,1296,874,lulu_belge,https://www.chess.com/game/daily/341826739
2021.07.30,el-bantu,jtucker109,B23,416,874,jtucker109,https://www.chess.com/game/daily/348514239
2021.08.01,jtucker109,el-bantu,A50,874,430,jtucker109,https://www.chess.com/game/daily/348943377
2021.08.03,el-bantu,jtucker109,B07,430,874,el-bantu,https://www.chess.com/game/daily/349244109
2021.08.05,jtucker109,el-bantu,B20,874,430,el-bantu,https://www.chess.com/game/daily/349583155
2021.08.07,el-bantu,jtucker109,A04,430,874,jtucker109,https://www.chess.com/game/daily/349948655
2021.08.09,jtucker109,pgarcia05,A46,871,1246,pgarcia05,https://www.chess.com/game/daily/350322677
2021.08.08,jtucker109,el-bantu,A45,871,435,jtucker109,https://www.chess.com/game/daily/350076653
2021.08.13,pgarcia05,jtucker109,A41,1249,868,pgarcia05,https://www.chess.com/game/daily/350983023
2021.08.15,jtucker109,pgarcia05,A46,865,1252,pgarcia05,https://www.chess.com/game/daily/351319833
2021.08.14,el-bantu,jtucker109,A10,448,865,el-bantu,https://www.chess.com/game/daily/351254601
2021.08.16,pgarcia05,jtucker109,A45,1227,891,jtucker109,https://www.chess.com/game/daily/351654985
2021.08.17,jtucker109,el-bantu,B20,891,448,jtucker109,https://www.chess.com/game/daily/351744906
2021.08.18,jtucker109,pgarcia05,A00,887,1231,pgarcia05,https://www.chess.com/game/daily/351931273
